abbrev:keyword,airport:text,region:text,city:keyword,city_location:geo_point,city_boundary:geo_shape
CRP,Corpus Christi Int'l,Corpus Christi,Corpus Christi,POINT(-97.3767 27.7254),"POLYGON((-97.682742 27.854257999962527\,-97.618341 27.84218199996388\,-97.547522 27.787508999970008\,-97.54601799999999 27.76582699997244\,-97.53564699999998 27.77297599997164\,-97.459963 27.722535999977286\,-97.469155 27.701417999979657\,-97.423681 27.684415999981553\,-97.42133699999998 27.672992999982842\,-97.42195799999999 27.666575999983557\,-97.42172199999999 27.638041999986754\,-97.421521 27.63782899998678\,-97.348669 27.629382999987726\,-97.294431 27.594585999991626\,-97.32491999999999 27.56080299999541\,-97.26755 27.540993999997635\,-97.25864999999999 27.57215399999414\,-97.23334399999999 27.556526999995885\,-97.26608599999999 27.492060000003107\,-97.20764 27.483569000004053\,-97.125265 27.64059699998646\,-96.99233499999998 27.80870899996763\,-96.96110800000001 27.884799999959114\,-97.00168799999999 27.89963799995746\,-97.0341867 27.828479999965417\,-97.1133629 27.746005499974654\,-97.12926979999999 27.753957799973765\,-97.094046 27.811753999967287\,-97.10668739999998 27.835510799964634\,-97.21269549999998 27.819548499966416\,-97.26367599999999 27.880685999959574\,-97.361261 27.84988599996302\,-97.354125 27.88071699995957\,-97.445908 27.865378999961287\,-97.45929500000001 27.878315999959838\,-97.460334 27.86199699996166\,-97.48081499999999 27.85977299996191\,-97.494703 27.882315999959392\,-97.517359 27.871147999960645\,-97.51508999999999 27.8518199999628\,-97.49268489999999 27.846807699963367\,-97.502403 27.847039999963346\,-97.5064274 27.843358099963748\,-97.5454514 27.859401499961958\,-97.5555149 27.86086809996179\,-97.57441699999998 27.861182699961752\,-97.59082269999999 27.856790999962254\,-97.6093425 27.891129599958408\,-97.6127458 27.893182599958184\,-97.622046 27.892543199958244\,-97.6277843 27.896160799957844\,-97.643639 27.857167999962204\,-97.6625726 27.87488739996022\,-97.662438 27.85875899996203\,-97.682742 27.854257999962527)\,(-97.610174 27.88195399995944\,-97.614375 27.89268999995823\,-97.61208499999998 27.89218099995829\,-97.61019899999998 27.890476999958484\,-97.610174 27.88195399995944)\,(-97.610252 27.871577999960586\,-97.610683 27.875635999960135\,-97.60875799999998 27.870739999960698\,-97.610252 27.871577999960586)\,(-97.56482299999999 27.853758999962583\,-97.42049350000002 27.81960489996641\,-97.38330599999999 27.83785499996437\,-97.423767 27.802051999968384\,-97.483884 27.805492999968\,-97.56482299999999 27.853758999962583)\,(-97.54335999999999 27.83251299996496\,-97.54148 27.832134999965003\,-97.541637 27.831365999965097\,-97.54335999999999 27.83251299996496)\,(-97.537393 27.82886099996537\,-97.53613999999999 27.830684999965168\,-97.536155 27.828087999965465\,-97.537393 27.82886099996537)\,(-97.52033199999998 27.822279999966117\,-97.52169449999998 27.823286099966005\,-97.520306 27.823080999966024\,-97.52033199999998 27.822279999966117)\,(-97.513135 27.8214759999662\,-97.51282699999999 27.821733999966174\,-97.51279099999999 27.821479999966204\,-97.513135 27.8214759999662))"
CSG,Centre Spatial Guyanais,Kourou,Kourou,POINT(-52.6499 5.16),"POLYGON((-52.98147899999999 5.065499599502076\,-52.94883639999999 5.040364199503857\,-52.95026479999999 5.023515099505061\,-52.92785789999999 5.025878999504893\,-52.9150947 4.999324599506796\,-52.935612899999995 4.980331999508168\,-52.869657399999994 4.939517799511135\,-52.879532 4.924533999512233\,-52.849640599999994 4.892763299514575\,-52.8718738 4.887366499514974\,-52.89999050000001 4.79387769952198\,-52.86359769999999 4.781598999522911\,-52.89311639999999 4.765424099524143\,-52.9086651 4.720281299527605\,-52.884712699999994 4.687570399530138\,-52.8935728 4.661044299532204\,-52.877607299999994 4.634901799534252\,-52.88893269999999 4.624076399535106\,-52.852806699999995 4.627389699534843\,-52.85566939999999 4.609171999536281\,-52.8265361 4.587564599537994\,-52.8320892 4.560152599540178\,-52.81895969999999 4.559942399540192\,-52.8001833 4.50967839954423\,-52.7780576 4.51078129954414\,-52.737954699999996 4.567991099539551\,-52.73941060000001 4.592728699537583\,-52.69941849999999 4.611787699536074\,-52.6663042 4.678928399530808\,-52.61640419999999 4.720273199527607\,-52.6363455 4.738226699526226\,-52.6393768 4.79943339952156\,-52.629795099999996 4.840273799518482\,-52.60942639999999 4.851376599517651\,-52.6232831 4.86977659951628\,-52.6041847 4.916116599512852\,-52.6127835 4.958843699509726\,-52.5925259 4.96992459950892\,-52.571954299999994 5.034097899504306\,-52.60727469999999 5.053558099502921\,-52.5612882 5.110784199498891\,-52.605070999999995 5.145341599496488\,-52.62942309999999 5.146376799496417\,-52.62582389999999 5.160527599495439\,-52.66640780000001 5.200140299492727\,-52.806908899999996 5.315862799484975\,-52.8124665 5.290624599486644\,-52.829613800000004 5.286301799486931\,-52.8249734 5.270191499488003\,-52.8879338 5.201045699492664\,-52.89313009999999 5.159958699495479\,-52.9640884 5.119664599498271\,-52.9606678 5.094911499500002\,-52.98147899999999 5.065499599502076))"
CSX,Changsha Huanghua Int'l,芦淞区,Zhuzhou,POINT(113.1469 27.8407),"POLYGON((113.10871119999999 27.78073369997076\,113.1142902 27.76001969997309\,113.1344604 27.772532099971684\,113.1686639 27.7554055999736\,113.1826114 27.77342439997158\,113.2144546 27.76922859997205\,113.2109355 27.783429499970463\,113.24621199999999 27.75946909997315\,113.2663178 27.766000799972424\,113.2792568 27.753221799973847\,113.29738849999998 27.76594379997242\,113.32360979999999 27.747429899974502\,113.3559894 27.795009099969164\,113.35328650000001 27.851209499962874\,113.2911658 27.88179759995945\,113.20573209999999 27.834142699964794\,113.15561769999998 27.831068699965126\,113.13121759999999 27.860711599961803\,113.12156440000001 27.85091539996291\,113.1404042 27.836699599964497\,113.14085479999999 27.807536399967763\,113.10871119999999 27.78073369997076))"
CTA,Catania Fontanarossa,Catania,Catania,POINT(15.0903 37.5),"POLYGON((14.9358674 37.40802949990087\,14.982278899999999 37.37370659989633\,15.0264704 37.37847719989697\,15.0329137 37.36221419989482\,15.0915738 37.358297099894315\,15.0856018 37.47845969991026\,15.1257493 37.5346086999178\,15.118335000000002 37.54801409991961\,15.1008638 37.534380399917765\,15.0609978 37.53877689991836\,15.040574199999996 37.56202669992149\,15.0564882 37.533934299917696\,15.0191822 37.494557599912405\,15.0263317 37.46615869990861\,14.9780023 37.45271399990681\,14.9465319 37.46467639990841\,14.9358674 37.40802949990087))"
CTG,Rafael Nunez,Turbaco,Turbaco,POINT(-75.3333 10.35),"POLYGON((-75.4736078 10.365503099457499\,-75.4638694 10.327803999455345\,-75.3877763 10.274023099452325\,-75.3824215 10.292306299453344\,-75.33987979999999 10.299591199453753\,-75.2758681 10.358153899457077\,-75.3432345 10.418160399460566\,-75.4474709 10.394970999459208\,-75.4736078 10.365503099457499))"
CTM,Chetumal Int'l,Chetumal,Chetumal,POINT(-88.3053 18.5036),"POLYGON((-88.3577228 18.51218050027772\,-88.33685189999998 18.49165230027606\,-88.2860885 18.49388040027624\,-88.2611656 18.54628670028045\,-88.294391 18.537678900279765\,-88.27865459999998 18.552863000280976\,-88.2814288 18.563505600281825\,-88.28600209999999 18.547508500280546\,-88.3016021 18.55343650028103\,-88.3077281 18.53344400027942\,-88.3577228 18.51218050027772))"
CTU,Chengdushuang Liu,青羊区,Chengdu,POINT(104.0633 30.66),"POLYGON((103.8942884 30.68262139968356\,103.9276192 30.661133699685177\,104.05765799999999 30.649375699686058\,104.087241 30.67247519968432\,104.06049629999998 30.684912499683392\,104.0443028 30.66552039968484\,104.00150769999999 30.689156699683082\,104.00569619999999 30.702748299682064\,103.9858907 30.708878099681606\,103.97888889999999 30.694875699682648\,103.9413842 30.726658299680306\,103.8942884 30.68262139968356))"
CUL,Federal de Bachigualato Int'l,Culiacán Rosales,Culiacán,POINT(-107.3939 24.8069),"POLYGON((-107.51821780000002 24.77502070027667\,-107.48151419999999 24.754979900278286\,-107.4654976 24.768626000277187\,-107.47140479999999 24.75832700027802\,-107.45699519999998 24.752678500278467\,-107.4364272 24.772355700276886\,-107.44525219999998 24.743844200279177\,-107.4403627 24.757315300278098\,-107.44306829999998 24.746696400278953\,-107.4131252 24.74125840027939\,-107.40495269999998 24.761326900277773\,-107.39204259999998 24.744232700279152\,-107.40503649999998 24.735242400279866\,-107.38776359999999 24.72541750028065\,-107.3768486 24.75637350027817\,-107.3503724 24.739239200279552\,-107.35337019999999 24.77268410027686\,-107.34028629999999 24.76334250027762\,-107.3440754 24.791263300275354\,-107.3279549 24.79840430027478\,-107.3269187 24.808385700273963\,-107.357012 24.809815200273846\,-107.3564072 24.82885010027229\,-107.38944659999999 24.858414600269864\,-107.37389569999999 24.876331900268383\,-107.37735309999998 24.88529150026764\,-107.3961739 24.88199340026791\,-107.40395849999999 24.832379900272002\,-107.4258204 24.853755100270245\,-107.4337865 24.823218400272754\,-107.46445199999998 24.837663000271565\,-107.46059199999999 24.815873400273354\,-107.4322869 24.807196500274056\,-107.4686851 24.811480200273703\,-107.4713148 24.80237440027446\,-107.4809468 24.8042125002743\,-107.48219479999999 24.798659800274752\,-107.44315249999998 24.80121610027455\,-107.45649789999999 24.79390660027514\,-107.4456778 24.784950200275865\,-107.51821780000002 24.77502070027667)\,(-107.4454626 24.7498290002787\,-107.4447532 24.749847600278695\,-107.4448288 24.74962230027872\,-107.4454626 24.7498290002787)\,(-107.3409493 24.797421000274852\,-107.3390099 24.803785900274338\,-107.33642679999998 24.798410100274776\,-107.3409493 24.797421000274852))"
CUN,Cancún,Cancún,Cancún,POINT(-86.8475 21.1606),"POLYGON((-86.97121219999998 21.102378700406067\,-86.92093009999999 21.060339100405404\,-86.9156095 21.12705320040643\,-86.9110513 21.093604200405935\,-86.9001976 21.130862600406484\,-86.89714969999999 21.066531800405496\,-86.894896 21.12818130040645\,-86.8834925 21.111704400406204\,-86.8591143 21.130662900406488\,-86.86319659999998 21.10068850040604\,-86.84133119999998 21.09606410040596\,-86.83906039999998 21.073656700405614\,-86.81955569999998 21.156039300406846\,-86.80376 21.158852700406882\,-86.7920463 21.133499700406524\,-86.7626077 21.133689300406527\,-86.77010979999999 21.121527400406357\,-86.7618485 21.131049100406493\,-86.75096889999999 21.136840500406574\,-86.7483396 21.135626000406553\,-86.760661 21.113360200406227\,-86.77024029999998 21.11928140040632\,-86.78834459999999 21.07076010040557\,-86.78724140000001 21.02976330040488\,-86.7406099 21.137576300406586\,-86.7870956 21.145308100406698\,-86.80306299999998 21.1601380004069\,-86.8034954 21.207685100407513\,-86.81951359999998 21.18310960040721\,-86.8179729 21.19996930040742\,-86.8395922 21.21303330040758\,-86.8630512 21.19625910040737\,-86.88468189999999 21.204828700407486\,-86.877818 21.192779900407327\,-86.89658660000002 21.170859900407045\,-86.92499839999999 21.167934000407005\,-86.9191354 21.15503250040683\,-86.9354694 21.14841100040674\,-86.9224687 21.126555200406422\,-86.9515965 21.11204140040621\,-86.95657059999999 21.12819180040645\,-86.97121219999998 21.102378700406067))"
CUU,General R F Villalobos Int'l,Municipio de Chihuahua,Chihuahua,POINT(-106.0889 28.6353),"POLYGON((-106.62190699999998 29.083962199828694\,-106.59459509999999 29.038659599833398\,-106.60494119999998 29.042070099833044\,-106.5983407 28.78343019986034\,-106.57919189999998 28.757800899863085\,-106.4735303 28.777548399860972\,-106.4529264 28.743282599864635\,-106.4245155 28.73844379986516\,-106.41182149999999 28.71446759986773\,-106.436883 28.709999999868213\,-106.4016607 28.656460399873975\,-106.2945006 28.560411899884386\,-106.32491069999999 28.5501729998855\,-106.3331812 28.529613599887735\,-106.3076425 28.51259659988959\,-106.29968349999999 28.4310578998985\,-106.2849028 28.416202799900145\,-106.24095590000002 28.42229299989946\,-106.21758549999998 28.393901799902586\,-106.24720319999999 28.36935889990529\,-106.2028468 28.3401553999085\,-106.2232932 28.265589099916724\,-106.21470739999998 28.22141679992162\,-106.2394674 28.20958519992293\,-106.2416866 28.235004299920117\,-106.2581599 28.231465999920502\,-106.25632629999998 28.161257199928276\,-106.2997176 28.14301099993032\,-106.29775810000001 28.13619189993107\,-106.24319569999999 28.09584879993556\,-106.18331729999998 28.123747499932453\,-106.0680146 28.14535889993006\,-105.9744849 28.13650259993104\,-105.97647099999999 28.20194209992377\,-105.94010319999998 28.206655799923258\,-105.9205129 28.25899479991746\,-105.91003229999998 28.254406199917963\,-105.89447699999998 28.27897209991525\,-105.83614479999999 28.26994809991625\,-105.8212532 28.29174409991383\,-105.7617059 28.291271899913887\,-105.76026789999999 28.341373899908362\,-105.74125899999999 28.348432099907587\,-105.73418249999999 28.37947989990417\,-105.726762 28.345646199907893\,-105.7028091 28.3419977999083\,-105.71037519999999 28.41213409990058\,-105.73484430000002 28.46058619989528\,-105.83402259999998 28.472069199894015\,-105.7976868 28.522936999888465\,-105.82395539999999 28.506478499890257\,-105.85372279999999 28.503353199890594\,-105.8631242 28.516561599889158\,-105.8974555 28.50487289989043\,-105.93414419999999 28.523258199888428\,-105.95276129999999 28.55625599988484\,-105.98105219999998 28.55045239988547\,-105.96245039999998 28.585286999881685\,-105.936868 28.585516199881656\,-105.9630055 28.64539859987518\,-105.9283955 28.682510799871167\,-105.93445679999999 28.662780399873288\,-105.91728859999999 28.659416399873663\,-105.9004098 28.727756499866306\,-105.9636267 28.73150769986591\,-106.0888793 28.79794669985879\,-106.12353060000001 28.921682299845664\,-106.16688459999999 28.93056579984473\,-106.2081166 29.014871299835885\,-106.19668099999998 29.015055999835866\,-106.2077371 29.027431099834573\,-106.17260739999999 29.018292999835523\,-106.18631779999998 29.05488609983171\,-106.2153452 29.068275199830317\,-106.2232673 29.13160149982377\,-106.1239391 29.13137659982379\,-106.1157457 29.15810069982104\,-106.06874429999999 29.143058699822593\,-106.0371882 29.15193299982167\,-106.044773 29.18079519981871\,-106.02676119999998 29.204644399816264\,-106.04334699999998 29.2161427998151\,-106.0378496 29.277137299808906\,-106.06723289999998 29.368111099799748\,-106.0617546 29.411380099795434\,-105.989401 29.41112949979546\,-105.9894131 29.558888199780938\,-105.92915119999999 29.671357099770123\,-105.94711399999998 29.698077199767575\,-105.9289644 29.757671999761953\,-106.1034116 29.743783099763267\,-106.24483689999998 29.784862199759413\,-106.3058551 29.750337799762647\,-106.2671798 29.71256139976621\,-106.36629559999999 29.7126864997662\,-106.37594189999999 29.739593199763664\,-106.4677134 29.739620699763655\,-106.46512439999998 29.72672719976487\,-106.50547340000001 29.704001799767017\,-106.48694209999998 29.67465039976981\,-106.52072319999999 29.698285499767564\,-106.50738469999999 29.71222509976625\,-106.51247479999999 29.739608299763663\,-106.59425049999999 29.742783399763358\,-106.59381379999999 29.6642556997708\,-106.4820772 29.567171999780147\,-106.5584797 29.538628299782918\,-106.55733029999999 29.47016739978962\,-106.5892742 29.46001919979062\,-106.58413509999998 29.422025999794382\,-106.6016413 29.37766189979879\,-106.5958602 29.358307599800728\,-106.57135139999998 29.357413999800812\,-106.58687549999999 29.277184299808887\,-106.5399226 29.272342999809386\,-106.55682989999998 29.16171759982067\,-106.62190699999998 29.083962199828694))"
CUZ,Velazco Astete Int'l,Cusco,Cusco,POINT(-71.9722 -13.525),"POLYGON((-72.1680025 -13.593931600267101\,-72.132207 -13.639304700271193\,-72.1146809 -13.62839650027021\,-72.0916641 -13.64918560027208\,-72.0461132 -13.638744100271143\,-72.0220976 -13.61343860026886\,-71.92840309999998 -13.615436900269044\,-71.9156405 -13.593626500267069\,-71.8432313 -13.630733400270424\,-71.81989000000002 -13.607696400268344\,-71.83559009999999 -13.590832400266821\,-71.8159475 -13.576190200265495\,-71.82093949999998 -13.520576200260436\,-71.80462599999998 -13.508258100259308\,-71.8464977 -13.486566100257322\,-71.8837857 -13.49780360025835\,-71.9316732 -13.467599100255578\,-71.9292332 -13.436067900252677\,-71.9802169 -13.429496100252074\,-72.0181742 -13.474837400256247\,-72.05142149999999 -13.489838200257623\,-72.06146089999999 -13.527943900261103\,-72.10571909999999 -13.553994200263476\,-72.15871799999998 -13.543753600262544\,-72.1680025 -13.593931600267101))"
CVG,Greater Cincinnati Int'l,Cincinnati,Cincinnati,POINT(-84.506 39.1413),"POLYGON((-84.71239 39.13070990014482\,-84.68846209999998 39.10233060014073\,-84.61987259999998 39.07340910013654\,-84.5730627 39.08191270013778\,-84.5509613 39.09949140014032\,-84.50612119999998 39.09510840013968\,-84.4654203 39.12193510014356\,-84.43628079999999 39.10238880014074\,-84.42564849999998 39.052699700133545\,-84.4039682 39.06775310013571\,-84.41350700000001 39.08468300013818\,-84.3696891 39.07373320013659\,-84.384886 39.10761700014149\,-84.41269699999998 39.093222000139406\,-84.39658399999999 39.12273700014369\,-84.4044852 39.14959720014757\,-84.37313199999998 39.1506253001477\,-84.37833839999999 39.16224280014939\,-84.43107130000001 39.168292500150244\,-84.4000832 39.173281000150986\,-84.41105899999998 39.19448400015404\,-84.454484 39.182589000152326\,-84.4607298 39.2178376001574\,-84.4920907 39.22103680015786\,-84.4942488 39.199387000154736\,-84.5361667 39.20232410015516\,-84.5337169 39.216963300157275\,-84.57942229999999 39.204800900155526\,-84.5830654 39.16454650014971\,-84.6247788 39.144591800146834\,-84.60471619999998 39.12586250014412\,-84.6159881 39.11828960014304\,-84.608006 39.10401200014096\,-84.58008960000001 39.10250010014075\,-84.58678 39.08388000013806\,-84.626234 39.07906400013736\,-84.71239 39.13070990014482)\,(-84.50748769999998 39.163709000149595\,-84.5056597 39.17976100015192\,-84.4816658 39.18918540015327\,-84.48381679999999 39.162962500149476\,-84.50748769999998 39.163709000149595)\,(-84.47610779999998 39.20552740015563\,-84.49222049999999 39.21038860015633\,-84.47438859999998 39.20986160015625\,-84.47610779999998 39.20552740015563)\,(-84.472415 39.14683700014716\,-84.45875089999998 39.178185500151685\,-84.434636 39.166425000149985\,-84.44290119999998 39.144823900146875\,-84.472415 39.14683700014716)\,(-84.463691 39.1984179001546\,-84.468141 39.20155900015506\,-84.46344339999999 39.2025869001552\,-84.463691 39.1984179001546))"
CWB,Afonso Pena Int'l,Curitiba,Curitiba,POINT(-49.2711 -25.4297),"POLYGON((-49.38913999999999 -25.42978759971752\,-49.372038200000006 -25.5134368997057\,-49.337906999999994 -25.515761199705373\,-49.357675199999996 -25.643504299687464\,-49.27008709999999 -25.609953399692145\,-49.222170999999996 -25.56096019969901\,-49.22585740000001 -25.53795579970225\,-49.1843182 -25.476932999710854\,-49.20338869999999 -25.435159999716756\,-49.19493829999999 -25.378509199724803\,-49.2297373 -25.34973689972889\,-49.273700899999994 -25.344950499729578\,-49.302728099999996 -25.386952199723602\,-49.3415063 -25.34671549972932\,-49.38913999999999 -25.42978759971752))"
CWL,Cardiff,Cardiff,Caerdydd,POINT(-3.1792 51.4817),"POLYGON((-3.343766099999999 51.52990459916857\,-3.3365562 51.50878379917136\,-3.2983747 51.49991419917253\,-3.2710488 51.46505319917723\,-3.2189033 51.47485789917591\,-3.1596964 51.44281749918028\,-3.0773981 51.49434029917329\,-3.0904014 51.50987929917121\,-3.068877399999999 51.52024299916982\,-3.1637251 51.560503999164624\,-3.2615645 51.537776799167546\,-3.2744119 51.551183799165806\,-3.3101324 51.54897749916609\,-3.343766099999999 51.52990459916857))"
CYB,Gerrard Smith,Ciudad de Ciego de Ávila,Ciego de Ávila,POINT(-78.7631 21.8481),"POLYGON((-78.7989974 21.8577120004095\,-78.7793112 21.82471180040969\,-78.72401319999999 21.835153600409637\,-78.76540539999999 21.876697800409374\,-78.7648859 21.8581158004095\,-78.7989974 21.8577120004095))"
CZL,Mohamed Boudiaf Int'l,Constantine ⵇⵙⴻⵟⵉⵏⴰ قسنطينة,Constantine,POINT(6.6147 36.365),"POLYGON((6.528445299999999 36.361596899773346\,6.5585503 36.328826899769766\,6.555359299999999 36.28820889976538\,6.574990299999999 36.3069968997674\,6.6240683 36.25892589976223\,6.6371403 36.26862889976327\,6.6176097 36.28991069976555\,6.6563513 36.270601899763484\,6.6509863 36.29112889976568\,6.6969483 36.31900489976869\,6.677776299999999 36.34605389977164\,6.680769299999999 36.3758838997749\,6.7248563 36.39350689977684\,6.7651073 36.447826899782875\,6.731686299999999 36.426800899780524\,6.6299623 36.42348989978017\,6.609739299999999 36.38377189977577\,6.528967200000001 36.38958859977642\,6.528445299999999 36.361596899773346))"
CZM,Cozumel Int'l,San Miguel de Cozumel,Cozumel,POINT(-86.9493 20.5104),"POLYGON((-86.97619659999998 20.474745200390977\,-86.97086069999999 20.475837700391008\,-86.9637415 20.495105600391632\,-86.9658597 20.473985400390948\,-86.9292982 20.47603720039101\,-86.9280174 20.505139900391956\,-86.908325 20.508948300392074\,-86.9200112 20.514343500392243\,-86.9154499 20.540109800393054\,-86.9349306 20.539563100393032\,-86.9141209 20.55550660039353\,-86.927944 20.550107100393365\,-86.9378239 20.536820500392945\,-86.94673289999999 20.514890100392257\,-86.9605663 20.50181280039185\,-86.97619659999998 20.474745200390977))"
DAC,Zia Int'l Dhaka,ঢাকা মহানগর,Dhaka,POINT(90.3889 23.7639),"POLYGON((90.3297837 23.750807900347972\,90.3637905 23.710114600350295\,90.4003995 23.7100093003503\,90.4494273 23.668077300352653\,90.5129322 23.709237700350343\,90.47133239999998 23.781603000346184\,90.48815919999998 23.826215200343558\,90.462549 23.84736050034229\,90.47178660000002 23.8671225003411\,90.4576756 23.894700400339424\,90.3932122 23.8803243003403\,90.38477639999999 23.89814490033921\,90.36148729999998 23.892715800339545\,90.3372417 23.846876800342326\,90.3441777 23.76848900034695\,90.3297837 23.750807900347972))"
DAD,Da Nang,Thị xã Điện Bàn,Quảng Hà,POINT(108.2667 15.9333),"POLYGON((108.1281968 15.890280900011833\,108.168408 15.83339300000523\,108.236805 15.84740500000686\,108.24679799999998 15.830741000004926\,108.25955899999998 15.857252000008002\,108.31025189999998 15.868594900009315\,108.29277279999998 15.898662200012799\,108.3300023 15.921692300015458\,108.2895709 15.967404100020737\,108.2493747 15.971453900021208\,108.21068179999999 15.942787500017902\,108.20615960000002 15.961745100020087\,108.18430279999998 15.965276800020494\,108.1789184 15.939767100017546\,108.15120409999999 15.95015660001875\,108.1281968 15.890280900011833))"
DAL,Dallas Love Field,Dallas County,Irving,POINT(-96.9702 32.8583),"POLYGON((-97.0383833 32.548662099592924\,-96.5232785 32.545348599592984\,-96.5168819 32.982388199587724\,-97.03109510000002 32.98966919958769\,-97.0383833 32.548662099592924))"
DAM,Damascus Int'l,ناحية ببيلا,Qabr as Sitt,POINT(36.3361 33.4472),"POLYGON((36.2705947 33.453403099589565\,36.2628485 33.41506459958913\,36.3557173 33.390093299588855\,36.3539792 33.37737209958874\,36.4235492 33.38807329958884\,36.393492099999996 33.402740899588984\,36.39068139999999 33.440106699589414\,36.325595099999994 33.48973309959005\,36.3191963 33.44477349958946\,36.2705947 33.453403099589565))"
DAR,Julius Nyerere Int'l,Ilala Municipal,Dar es Salaam,POINT(39.2803 -6.8161),"POLYGON((39.022163799999994 -7.025764799712161\,39.03868039999999 -7.049982699713113\,39.0683669 -7.03140649971238\,39.0697034 -7.057315899713403\,39.1130541 -7.073113399714037\,39.108266 -7.086660299714582\,39.115121099999996 -7.093877499714874\,39.15162479999999 -7.019663499711922\,39.17441199999999 -7.011035599711587\,39.17002509999999 -6.995261299710981\,39.2362565 -6.912780899707894\,39.21059009999999 -6.883764099706846\,39.24498439999999 -6.864076499706146\,39.2449896 -6.841162199705343\,39.29906929999999 -6.811554899704323\,39.27556359999999 -6.793079999703697\,39.24300449999999 -6.823787399704742\,39.1810056 -6.809759099704261\,39.1463428 -6.832495999705042\,39.1208922 -6.830415699704969\,39.10884639999999 -6.915068599707978\,39.088076099999995 -6.923149199708274\,39.09414439999999 -6.93337109970865\,39.059599799999994 -6.973104499710134\,39.0744783 -6.979623499710383\,39.0652054 -7.013961599711703\,39.050894799999995 -7.028324699712261\,39.022163799999994 -7.025764799712161))"
DAV,Enrique Malek Int'l,Distrito David,David,POINT(-82.4333 8.4333),"POLYGON((-82.5595862 8.77026629939659\,-82.5238383 8.55711349939334\,-82.5318474 8.508848999392768\,-82.5189748 8.466605999392318\,-82.53539539999998 8.455490399392207\,-82.52279769999998 8.401708599391712\,-82.4432213 8.291571999390943\,-82.4514073 8.277676099390865\,-82.4286769 8.272396399390841\,-82.43044289999999 8.253666699390749\,-82.3953535 8.223919099390626\,-82.3207636 8.234360999390667\,-82.238014 8.29591389939097\,-82.20872499999999 8.377938299391522\,-82.2235193 8.412276599391806\,-82.2053827 8.427556699391943\,-82.3001185 8.43512809939201\,-82.28417519999999 8.457823299392226\,-82.3228389 8.569275399393492\,-82.3528737 8.61680379939413\,-82.3738419 8.618498699394154\,-82.3954144 8.64798279939458\,-82.37982 8.620279499394181\,-82.4133541 8.594097299393818\,-82.3652972 8.488724399392547\,-82.3992815 8.509535899392773\,-82.4100058 8.47358809939239\,-82.43748349999998 8.485408899392512\,-82.446586 8.521349099392909\,-82.51024509999999 8.608536999394016\,-82.5378607 8.689324299395215\,-82.53425469999999 8.744609699396136\,-82.5595862 8.77026629939659))"
DAY,James M. Cox Dayton Int'l,Vandalia,Vandalia,POINT(-84.193 39.8791),"POLYGON((-84.25548599999999 39.879356000250844\,-84.188493 39.86946400024948\,-84.189702 39.841717000245666\,-84.20859 39.83978900024541\,-84.17603999999999 39.83455700024467\,-84.1576032 39.92297590025681\,-84.189291 39.902042000253964\,-84.198015 39.91161500025526\,-84.203669 39.89063500025241\,-84.25548599999999 39.879356000250844))"
DBO,Dubbo,Dubbo,Dubbo,POINT(148.6011 -32.2569),"POLYGON((148.35979039999998 -32.2024109994301\,148.37572809999998 -32.25677449943583\,148.40680149999997 -32.25760019943591\,148.4025588 -32.23148909943315\,148.42493539999998 -32.234226699433435\,148.4329879 -32.21929079943186\,148.4683802 -32.238640299433904\,148.470968 -32.22265819943222\,148.4936358 -32.22542649943251\,148.50077269999997 -32.248358899434926\,148.5185965 -32.2499016994351\,148.48732939999996 -32.29032479943943\,148.4532225 -32.28616179943898\,148.42343709999997 -32.342460299445136\,148.39595460000004 -32.33922649944479\,148.3808837 -32.38096939944945\,148.37886130000004 -32.39358989945088\,148.4075879 -32.397380499451295\,148.38004859999998 -32.426406799454604\,148.3992435 -32.479356199460746\,148.4098029 -32.4600218994585\,148.4444645 -32.46449829945902\,148.4324171 -32.49372749946244\,148.4593894 -32.49602599946272\,148.4843661 -32.43706149945584\,148.5119392 -32.43769529945592\,148.50745459999996 -32.401993899451824\,148.61317549999998 -32.42264479945417\,148.62687939999998 -32.39213779945071\,148.6778014 -32.3716658994484\,148.7245386 -32.42136339945402\,148.7541191 -32.419068399453764\,148.7656676 -32.3902646994505\,148.7260651 -32.37859769944918\,148.73008839999997 -32.35093079944608\,148.710854 -32.34426409944533\,148.71759169999999 -32.30648999944118\,148.7306195 -32.31500019944212\,148.74626210000002 -32.27848839943815\,148.762924 -32.28802129943918\,148.7672394 -32.25812639943597\,148.78544889999998 -32.25168899943529\,148.7817341 -32.211125899431\,148.8142317 -32.21918639943185\,148.79927029999996 -32.19336389942916\,148.80560039999997 -32.15763879942549\,148.8370761 -32.157339099425464\,148.848862 -32.10429779942012\,148.8205 -32.10062589941975\,148.8290654 -32.0685161994166\,148.8071268 -32.0655192994163\,148.7630242 -32.11288579942099\,148.6990437 -32.10489099942018\,148.69546559999998 -32.125307099422216\,148.6587025 -32.12088829942177\,148.6454269 -32.18372119942816\,148.6260026 -32.19542059942937\,148.596096 -32.18975049942879\,148.5717525 -32.157965799425526\,148.53496329999996 -32.1937633994292\,148.5380473 -32.166251299426364\,148.51180589999998 -32.16700939942644\,148.50959040000004 -32.18839489942864\,148.48608239999996 -32.19489859942933\,148.46441019999997 -32.17902679942769\,148.42630239999997 -32.188376799428646\,148.4154234 -32.168907499426645\,148.37886409999996 -32.211289499431025\,148.35979039999998 -32.2024109994301))"
